IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP3;IP_PROP4;IP_PROP5;IP_PROP6;IP_PROP7;IP_PROP8;IP_PROP9;IP_PROP10;IP_PROP11;IP_PROP12;IP_PROP15;IP_PROP13;IP_PROP16;IP_PROP25;IP_PROP14;IP_PROP18;IP_PROP17;IC_GROUP0;IC_GROUP1;IC_GROUP2
502;Пантолеты Кости на Пляже;33;Y;;;;;text;/upload/iblock/6c6/vg43lcwkpdg20ndvqoc6hr2lxs645m8c.jpg;"Эти оригинальные пантолеты - идеальный вариант для пляжного отдыха. Модель выполнена из высококачественного каучука. Модель на гибкой подошве оформлена фирменным логотипом.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука</b>: Без каблука</li>

							<li><b>Высота платформы: </b>Низкая, 1.5 см</li>

							<li><b>Сезон: </b>лето</li>

							<li><b>Пол: </b>Мужской</li>

							<li><b>Страна бренда: </b>Франция</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
							</div>
						";html;pantolety-bones-on-the-beach;500;;;;;;;;;174-19-xx;"Франция ""Айли""";полиуретан ;;;/upload/iblock/f00/o3rreobzfb7n0eut3cizl35fg4dyy495.jpg;;;;;;Обувь;Пантолеты;
502;Пантолеты Кости на Пляже;33;Y;;;;;text;/upload/iblock/6c6/vg43lcwkpdg20ndvqoc6hr2lxs645m8c.jpg;"Эти оригинальные пантолеты - идеальный вариант для пляжного отдыха. Модель выполнена из высококачественного каучука. Модель на гибкой подошве оформлена фирменным логотипом.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука</b>: Без каблука</li>

							<li><b>Высота платформы: </b>Низкая, 1.5 см</li>

							<li><b>Сезон: </b>лето</li>

							<li><b>Пол: </b>Мужской</li>

							<li><b>Страна бренда: </b>Франция</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
							</div>
						";html;pantolety-bones-on-the-beach;500;;;;;;;;;174-19-xx;"Франция ""Айли""";полиуретан ;;;/upload/iblock/d52/2ekrrl9w8irdhjw19fxkebnnsvm8d92q.jpg;;;;;;Обувь;Пантолеты;
502;Пантолеты Кости на Пляже;33;Y;;;;;text;/upload/iblock/6c6/vg43lcwkpdg20ndvqoc6hr2lxs645m8c.jpg;"Эти оригинальные пантолеты - идеальный вариант для пляжного отдыха. Модель выполнена из высококачественного каучука. Модель на гибкой подошве оформлена фирменным логотипом.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука</b>: Без каблука</li>

							<li><b>Высота платформы: </b>Низкая, 1.5 см</li>

							<li><b>Сезон: </b>лето</li>

							<li><b>Пол: </b>Мужской</li>

							<li><b>Страна бренда: </b>Франция</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
							</div>
						";html;pantolety-bones-on-the-beach;500;;;;;;;;;174-19-xx;"Франция ""Айли""";полиуретан ;;;/upload/iblock/3f8/ex9h6gdujzb7x3ist01nrxi3ht0njy1s.jpg;;;;;;Обувь;Пантолеты;
502;Пантолеты Кости на Пляже;33;Y;;;;;text;/upload/iblock/6c6/vg43lcwkpdg20ndvqoc6hr2lxs645m8c.jpg;"Эти оригинальные пантолеты - идеальный вариант для пляжного отдыха. Модель выполнена из высококачественного каучука. Модель на гибкой подошве оформлена фирменным логотипом.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука</b>: Без каблука</li>

							<li><b>Высота платформы: </b>Низкая, 1.5 см</li>

							<li><b>Сезон: </b>лето</li>

							<li><b>Пол: </b>Мужской</li>

							<li><b>Страна бренда: </b>Франция</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
							</div>
						";html;pantolety-bones-on-the-beach;500;;;;;;;;;174-19-xx;"Франция ""Айли""";полиуретан ;;;/upload/iblock/6c6/vg43lcwkpdg20ndvqoc6hr2lxs645m8c.jpg;;;;;;Обувь;Пантолеты;
502;Пантолеты Кости на Пляже;33;Y;;;;;text;/upload/iblock/6c6/vg43lcwkpdg20ndvqoc6hr2lxs645m8c.jpg;"Эти оригинальные пантолеты - идеальный вариант для пляжного отдыха. Модель выполнена из высококачественного каучука. Модель на гибкой подошве оформлена фирменным логотипом.
							<div>
							<br />
							</div>

							<div>
							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука</b>: Без каблука</li>

							<li><b>Высота платформы: </b>Низкая, 1.5 см</li>

							<li><b>Сезон: </b>лето</li>

							<li><b>Пол: </b>Мужской</li>

							<li><b>Страна бренда: </b>Франция</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
							</div>
						";html;pantolety-bones-on-the-beach;500;;;;;;;;;174-19-xx;"Франция ""Айли""";полиуретан ;;;/upload/iblock/8ea/w12i896e3nj44m9am7kcv50dl8wizo3y.jpg;;;;;;Обувь;Пантолеты;
465;Домашние Тапочки Розовый Рай;29;Y;;;;;text;/upload/iblock/eab/q3a1j5roawjetcvas8v8esbuc2yj6zl0.jpg;"							<div>Симпатичные тапочки, украшенные вышивкой в виде мышки. Модель оформлена рисунком в полоску. Комфортная и уютная обувь для домашнего отдыха.</div>

							<div>
							<br />
							</div>

							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука:</b> Без каблука</li>

							<li><b>Высота платформы:</b> Низкая, 0.5 см</li>

							<li><b>Материал верха:</b> Текстиль</li>

							<li><b>Материал подошвы:</b> Резина</li>

							<li><b>Материал подкладки:</b> Кожа</li>

							<li><b>Сезон:</b> Круглогодичный</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Страна бренда: </b>Россия</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
						";html;slippers-pink-paradise;500;;;;;;;;;174-15-xx;"Россия ""Молодая семья""";резина/кожа;;;/upload/iblock/96e/3atpsjmntsc9mphw8wes5wm7wjj319pp.jpg;;;;;;Обувь;Тапочки;
465;Домашние Тапочки Розовый Рай;29;Y;;;;;text;/upload/iblock/eab/q3a1j5roawjetcvas8v8esbuc2yj6zl0.jpg;"							<div>Симпатичные тапочки, украшенные вышивкой в виде мышки. Модель оформлена рисунком в полоску. Комфортная и уютная обувь для домашнего отдыха.</div>

							<div>
							<br />
							</div>

							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука:</b> Без каблука</li>

							<li><b>Высота платформы:</b> Низкая, 0.5 см</li>

							<li><b>Материал верха:</b> Текстиль</li>

							<li><b>Материал подошвы:</b> Резина</li>

							<li><b>Материал подкладки:</b> Кожа</li>

							<li><b>Сезон:</b> Круглогодичный</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Страна бренда: </b>Россия</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
						";html;slippers-pink-paradise;500;;;;;;;;;174-15-xx;"Россия ""Молодая семья""";резина/кожа;;;/upload/iblock/b49/ryhs8jxdn08pqq0pncpko96ao0eu0r5x.jpg;;;;;;Обувь;Тапочки;
465;Домашние Тапочки Розовый Рай;29;Y;;;;;text;/upload/iblock/eab/q3a1j5roawjetcvas8v8esbuc2yj6zl0.jpg;"							<div>Симпатичные тапочки, украшенные вышивкой в виде мышки. Модель оформлена рисунком в полоску. Комфортная и уютная обувь для домашнего отдыха.</div>

							<div>
							<br />
							</div>

							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука:</b> Без каблука</li>

							<li><b>Высота платформы:</b> Низкая, 0.5 см</li>

							<li><b>Материал верха:</b> Текстиль</li>

							<li><b>Материал подошвы:</b> Резина</li>

							<li><b>Материал подкладки:</b> Кожа</li>

							<li><b>Сезон:</b> Круглогодичный</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Страна бренда: </b>Россия</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
						";html;slippers-pink-paradise;500;;;;;;;;;174-15-xx;"Россия ""Молодая семья""";резина/кожа;;;/upload/iblock/ec7/n2kh3r25cvl8ml177gg6lswv7v6w1m1q.jpg;;;;;;Обувь;Тапочки;
465;Домашние Тапочки Розовый Рай;29;Y;;;;;text;/upload/iblock/eab/q3a1j5roawjetcvas8v8esbuc2yj6zl0.jpg;"							<div>Симпатичные тапочки, украшенные вышивкой в виде мышки. Модель оформлена рисунком в полоску. Комфортная и уютная обувь для домашнего отдыха.</div>

							<div>
							<br />
							</div>

							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука:</b> Без каблука</li>

							<li><b>Высота платформы:</b> Низкая, 0.5 см</li>

							<li><b>Материал верха:</b> Текстиль</li>

							<li><b>Материал подошвы:</b> Резина</li>

							<li><b>Материал подкладки:</b> Кожа</li>

							<li><b>Сезон:</b> Круглогодичный</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Страна бренда: </b>Россия</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
						";html;slippers-pink-paradise;500;;;;;;;;;174-15-xx;"Россия ""Молодая семья""";резина/кожа;;;/upload/iblock/30a/vibumbtjsreh15h59jvs46pra450tlct.jpg;;;;;;Обувь;Тапочки;
465;Домашние Тапочки Розовый Рай;29;Y;;;;;text;/upload/iblock/eab/q3a1j5roawjetcvas8v8esbuc2yj6zl0.jpg;"							<div>Симпатичные тапочки, украшенные вышивкой в виде мышки. Модель оформлена рисунком в полоску. Комфортная и уютная обувь для домашнего отдыха.</div>

							<div>
							<br />
							</div>

							<div><b>Дополнительное описание:</b></div>

							<div>
							<ul>
							<li><b>Высота каблука:</b> Без каблука</li>

							<li><b>Высота платформы:</b> Низкая, 0.5 см</li>

							<li><b>Материал верха:</b> Текстиль</li>

							<li><b>Материал подошвы:</b> Резина</li>

							<li><b>Материал подкладки:</b> Кожа</li>

							<li><b>Сезон:</b> Круглогодичный</li>

							<li><b>Пол: </b>Женский</li>

							<li><b>Страна бренда: </b>Россия</li>

							<li><b>Страна производитель: </b>Китай</li>
							</ul>
							</div>
						";html;slippers-pink-paradise;500;;;;;;;;;174-15-xx;"Россия ""Молодая семья""";резина/кожа;;;/upload/iblock/eab/q3a1j5roawjetcvas8v8esbuc2yj6zl0.jpg;;;;;;Обувь;Тапочки;
